Date,OpenTV,PayTV,Radio,Print,Facebook,Google,Email,Sales
1/7/2018,13637.75157,11127.99785,0,0,3996.635926,8049.170727,0,195596
1/14/2018,0,0,8665.516222,3097.077969,3710.391593,6375.41784,3532.606981,264903.8
1/21/2018,0,0,0,3145.181754,0,6104.066477,3648.381829,240453.2
1/28/2018,0,0,0,0,0,0,1597.715205,176939
2/4/2018,0,0,0,2091.328917,0,0,1045.664458,195941.4
2/11/2018,12914.28609,0,8099.648422,2781.233263,4159.035281,8005.460683,3479.813998,270553
2/18/2018,0,10299.58135,0,1425.55263,0,0,834.3523032,192708.6
2/25/2018,14560.64836,0,8222.221482,2614.337922,5505.51609,8996.380998,3546.448674,307102.2
3/4/2018,14940.67635,11595.63946,0,3135.248236,3676.22357,0,3329.404332,243987.4
3/11/2018,0,0,0,2232.781716,4161.510848,6001.148146,3236.708503,227364.6
3/18/2018,0,0,0,0,0,0,0,172808.8
3/25/2018,0,0,0,0,0,0,0,119205.2
4/1/2018,13700.77859,0,8793.06718,0,4443.067528,8934.868867,0,254529.2
4/8/2018,13427.87799,13193.2333,0,0,0,7424.44265,0,228434.2
4/15/2018,0,11443.57471,0,1821.595117,3504.210828,0,1295.36348,217506.2
4/22/2018,14152.58026,0,0,0,4140.038678,8408.845651,1544.362309,260961.6
4/29/2018,0,12774.76664,0,0,3602.449679,0,1422.876833,215517.2
5/6/2018,13823.00898,0,8301.612581,2125.079769,0,10383.94204,3401.831369,300272.4
5/13/2018,14869.70421,12103.71445,0,2236.994923,0,8344.402337,1118.497461,283166.4
5/20/2018,15191.76484,14879.30689,7729.403948,2571.660781,5029.572236,8448.904232,3585.492435,318362.8
5/27/2018,0,12087.60028,0,2789.041931,0,0,1394.527806,222575
6/3/2018,12989.40303,0,0,2329.948052,3934.675968,8246.825876,856.4664813,243407.2
6/10/2018,0,11127.99785,0,1898.59873,3712.523771,0,1088.075352,202694
6/17/2018,14366.12193,0,7248.928504,0,3973.921973,7911.972314,1829.235299,221871
6/24/2018,0,10499.87566,0,0,3291.352352,0,0,163412.6
7/1/2018,0,0,0,0,0,0,0,130854.2
7/8/2018,0,0,7300.219073,2870.512659,0,6134.926946,3771.823703,226516
7/15/2018,0,0,0,0,0,0,0,155864.8
7/22/2018,16561.6822,0,8780.377997,3527.997371,4730.113733,9135.531258,4288.783334,300218.8
7/29/2018,0,12058.54301,0,0,0,0,2140.949806,212686.2
8/5/2018,15624.41527,0,7438.658676,1486.586917,0,5953.183042,3044.839046,235027.8
8/12/2018,0,0,7107.988618,0,4176.319216,8319.410358,2918.726755,183024
8/19/2018,0,11966.32946,0,1447.816996,4710.912699,8319.410358,1151.556962,182829.2
8/26/2018,0,0,0,0,0,0,0,147998.4
9/2/2018,13634.69569,0,0,0,3841.604784,7444.677464,1808.027464,217863.2
9/9/2018,0,11940.31404,7900.823677,2535.857413,3611.570088,0,2798.135449,231009.4
9/16/2018,0,0,0,1540.216427,0,0,945.080627,173441.8
9/23/2018,0,0,0,1518.529147,0,0,2580.622435,188544.4
9/30/2018,0,0,0,1756.431636,0,0,878.2207821,160738.2
10/7/2018,13548.51383,0,0,2441.123658,3878.351961,7454.641232,1220.561829,224811.6
10/14/2018,12765.66956,12667.96935,0,2232.185503,4421.91277,7563.803134,1116.097403,247736.6
10/21/2018,12612.11377,11125.60096,0,1919.933745,0,7593.533831,1427.951122,250276.8
10/28/2018,12582.42731,12493.93642,7719.560812,0,0,7454.298299,3467.469246,244701.6
11/4/2018,16032.97044,0,0,0,4135.94682,8392.791179,0,237915.6
11/11/2018,0,14524.74395,0,0,0,0,0,200948.2
11/18/2018,0,0,0,1485.39244,0,0,900.0352099,194107.8
11/25/2018,0,0,7475.655216,0,0,8392.791179,2055.962011,176943.8
12/2/2018,14429.5937,0,7132.667732,1425.748773,4359.988375,5859.443701,2418.190998,207581.4
12/9/2018,0,12272.26343,8383.112139,3202.437423,3350.036795,6052.552099,3442.324316,226249.6
12/16/2018,14429.5937,0,0,971.8465568,4500.84969,8419.249802,681.6731111,164524.6
12/23/2018,13153.25867,0,8818.084207,2381.192298,4500.84969,8419.249802,4317.896567,279322.2
12/30/2018,0,12272.26343,8904.759156,2554.74664,3838.158361,6496.131439,5216.641673,269206.4
1/6/2019,14554.65399,0,8583.415451,0,4444.632003,9159.424721,3969.809354,314852.2
1/13/2019,0,10813.12683,0,0,3392.028005,7772.543576,1323.134047,208819.6
1/20/2019,0,0,0,0,0,0,838.2081473,170709.8
1/27/2019,0,0,0,0,0,0,0,156031.6
2/3/2019,0,13818.3096,0,0,0,0,2302.988397,191400.2
2/10/2019,0,0,0,0,0,0,0,157095.6
2/17/2019,16364.60875,0,7444.538388,1826.592931,4241.375012,8729.787645,913.3012405,161351
2/24/2019,0,0,0,0,0,0,0,156965.2
3/3/2019,13047.25383,0,7828.362828,2598.942187,4161.510848,7901.82817,4906.943146,280254.2
3/10/2019,14940.67635,12046.58877,10044.0824,4551.527451,5424.518582,8387.246876,4591.72879,322549
3/17/2019,0,12134.00375,0,2570.713804,3536.959388,0,1285.362897,232739.4
3/24/2019,0,0,0,1864.977557,0,0,932.4887785,163873
3/31/2019,0,0,7934.598624,0,0,0,2514.905418,189032.2
4/7/2019,15396.42785,0,7755.598288,3078.758659,0,5899.359067,3012.852028,229080.4
4/14/2019,0,0,0,0,0,0,0,110536.8
4/21/2019,0,0,0,0,0,0,0,153550.4
4/28/2019,0,0,0,1913.866007,4263.099627,9270.591896,590.8604468,161699.6
5/5/2019,0,0,0,0,0,0,0,149131.2
5/12/2019,0,0,0,0,0,0,0,107303.6
5/19/2019,0,11284.96447,0,1081.880558,3989.98853,0,1063.966361,162683.2
5/26/2019,0,11863.06111,8243.262274,2096.376366,3714.382926,5927.910909,2943.766987,201310.6
6/2/2019,12212.84443,0,0,1571.246382,3741.403015,6769.248234,785.627917,217578.8
6/9/2019,0,11494.89694,0,2511.898411,3464.168073,0,2540.591709,230492.6
6/16/2019,0,0,0,0,0,0,0,131277
6/23/2019,12771.64078,0,8094.503776,2347.668539,4295.957973,7760.083157,3793.020033,283311.4
6/30/2019,13537.72705,13562.95617,8105.16348,2695.618007,5132.313421,8684.473463,4748.733985,312491.2
7/7/2019,0,10997.34848,0,1957.040866,4176.319216,5970.575767,1072.839017,226100.8
7/14/2019,0,0,9729.70782,2154.814597,4710.912699,6254.152304,1077.412415,164911.4
7/21/2019,0,0,0,0,0,0,0,153532.8
7/28/2019,0,0,0,0,0,0,0,110470.6
8/4/2019,0,10145.59881,0,1560.451343,0,0,780.2293876,161177
8/11/2019,13876.81188,0,0,1812.350063,4176.319216,8319.410358,2168.922572,198048.8
8/18/2019,0,0,0,2189.399784,4710.912699,8319.410358,1094.705062,161161
8/25/2019,0,0,0,0,0,0,0,149967.2
9/1/2019,14136.19144,0,7127.626067,0,4252.459699,8225.767102,3259.056377,244336
9/8/2019,0,13820.01318,7649.752382,0,3806.761894,0,4019.682347,220856
9/15/2019,0,0,7748.900553,0,0,0,3122.828446,214278.4
9/22/2019,0,0,0,1345.098888,0,0,938.5527629,182601.2
9/29/2019,0,0,0,0,0,0,0,146516.4
10/6/2019,15737.44978,0,7912.515954,3273.723949,5071.363755,9341.060269,3410.904343,305847.2
10/13/2019,0,12745.98958,0,1721.560388,3570.814838,0,1479.024515,231438.4
10/20/2019,0,0,7539.872667,0,0,0,2342.772263,209286
10/27/2019,0,0,0,0,0,0,1190.608003,184586.2
11/3/2019,0,0,6980.957551,1276.15208,0,5997.0382,3220.268719,199295.2
11/10/2019,0,10499.87566,0,0,3291.352352,5997.0382,2280.437958,160371.2
11/17/2019,0,0,0,0,0,0,0,145577
11/24/2019,0,0,0,1721.097524,0,8392.791179,860.552507,169348.8
12/1/2019,0,0,0,0,0,0,0,152401.6
12/8/2019,0,0,0,0,0,0,0,147079.8
12/15/2019,12354.18923,12272.26343,8273.950595,1758.203902,4359.988375,7705.612541,3198.480935,258949.6
12/22/2019,14429.5937,10432.86188,8818.084207,2730.340502,3350.036795,6052.552099,1365.176472,205015.6
12/29/2019,15705.92872,0,0,2782.168607,4056.748142,8052.044172,1820.419667,261931.4
1/5/2020,0,12628.12278,0,2767.197714,3671.959616,0,1383.598857,216866
1/12/2020,0,0,0,1341.642463,0,0,684.0655473,194046.4
1/19/2020,12393.95412,0,0,2333.332505,3706.02476,7772.543576,1166.666252,230194.4
1/26/2020,0,12203.88358,8316.925461,0,0,6017.355381,2550.619968,217258.2
2/2/2020,17785.02351,0,0,2895.860027,4241.375012,8729.787645,1447.937655,297886
2/9/2020,0,13818.3096,0,2268.064338,0,0,2481.622236,241423.2
2/16/2020,16794.3505,0,8503.695433,2458.413485,5059.715849,9550.96102,5550.870019,331845
2/23/2020,0,15858.07208,0,1994.991758,3968.048722,0,880.4927508,248824.8
3/1/2020,0,0,7665.077812,1958.606914,0,6090.961008,2766.388393,245596
3/8/2020,0,0,0,0,0,0,0,135801.6
3/15/2020,12883.28206,0,7304.978619,0,3927.233823,7529.472315,2805.070604,238184.4
3/22/2020,0,14054.04239,8937.281785,3348.173371,4080.522125,6155.984402,3390.612446,269926.6
3/29/2020,0,0,8636.434059,3143.480519,0,5967.224547,2499.045277,245946.6
4/5/2020,0,0,0,0,0,0,0,127560.4
4/12/2020,15692.36022,0,9273.745816,2037.212843,4263.099627,9270.591896,4461.708696,288944.4
4/19/2020,15396.42785,14535.75093,0,2484.199484,5577.108103,8187.659973,1908.389017,283992.6
4/26/2020,0,11964.92964,0,0,0,0,0,176372
5/3/2020,0,0,8243.702704,1476.882597,0,6150.456161,2632.056111,234702
5/10/2020,13136.69147,0,0,0,3714.382926,7839.337274,0,216089.2
5/17/2020,0,11284.96447,0,1585.892989,0,0,792.9503325,200176.8
5/24/2020,13109.00641,0,0,2071.882615,3989.98853,8025.245275,1035.941307,260778.8
5/31/2020,0,11863.06111,7490.513908,3553.770006,3793.41635,6152.318871,3841.391404,259951.4
6/7/2020,14314.89219,0,0,3539.383101,0,8194.747392,1769.699305,262633.6
6/14/2020,15168.16422,12387.54832,9391.425027,0,5674.41,9315.044909,3072.271392,294078
6/21/2020,16021.87724,14834.85764,10469.13915,3645.978231,0,9579.184457,5412.180059,353366.8
6/28/2020,0,14473.83948,0,1761.050479,3747.945337,0,1357.023569,265348.6
7/5/2020,0,0,0,0,0,0,0,162131.2
7/12/2020,0,0,7475.067101,1421.780827,0,5970.575767,3114.418988,223648.8
7/19/2020,0,0,9729.70782,1712.609546,0,6254.152304,4248.714318,217733.4
7/26/2020,0,0,7911.748222,1663.233815,0,6214.114461,4088.58371,223218.2
8/2/2020,0,0,0,0,0,0,0,143206.2
8/9/2020,15624.41527,0,7510.208381,3816.215997,0,8780.34302,3068.817937,289042.6
8/16/2020,0,11966.32946,9014.765424,0,4176.319216,0,3595.072219,223797.4
8/23/2020,13876.81188,0,0,1754.620378,4710.912699,8319.410358,3927.086051,300258.4
8/30/2020,0,10145.59881,0,0,0,0,0,172125.4
9/6/2020,0,0,0,0,0,0,0,119825.4
9/13/2020,13634.69569,0,0,1365.837494,3611.570088,7444.677464,682.9187471,164781.2
9/20/2020,0,0,0,0,0,0,0,111239
9/27/2020,0,0,7106.572773,2723.619883,3841.604784,5870.165393,2712.777492,195945.2
10/4/2020,15898.7683,0,9061.042594,2082.819395,0,8900.024276,4296.997882,293476.2
10/11/2020,0,11957.77199,0,2208.985917,3537.273494,0,1641.682022,231967
10/18/2020,14060.05213,0,0,3223.639438,0,8215.30662,1611.828234,267362.4
10/25/2020,13322.51759,14461.82632,9267.803205,0,4829.178111,8315.625527,3720.832981,288562.8
11/1/2020,0,11244.5084,7910.340394,1240.900281,3537.216126,0,2280.437958,223456.8
11/8/2020,0,0,0,0,0,0,0,126811.2
11/15/2020,0,0,0,1276.15208,3291.352352,8392.791179,638.0760399,161907.6
11/22/2020,0,0,7093.56714,1240.900281,3537.216126,0,1889.296564,185373.2
11/29/2020,0,0,0,0,0,0,0,110646.6
12/6/2020,14429.5937,0,9417.46947,1383.775862,4056.748142,6066.159761,3496.745267,219652.4
12/13/2020,13153.25867,10432.86188,0,2129.987458,4359.988375,7705.612541,1008.778784,168952.8
12/20/2020,0,0,0,0,0,0,0,152341
12/27/2020,15705.92872,10432.86188,8904.759156,2129.987458,4359.988375,8052.044172,3496.745267,282200.4
1/3/2021,0,0,0,0,0,0,0,156997.6
1/10/2021,0,0,0,0,0,0,0,142092.2
1/17/2021,20376.51559,15138.37756,0,0,4444.632003,8049.170727,987.6134821,168948
1/24/2021,0,0,0,0,0,0,0,157709.6
1/31/2021,0,12867.62093,7253.389124,0,0,0,2617.615821,199848.4
2/7/2021,0,0,7444.538388,0,0,6067.148986,2686.527754,226459
2/14/2021,16364.60875,0,10125.7237,0,0,9401.227475,5658.230414,319545.4
2/21/2021,15476.37129,13228.70309,0,2726.284817,4798.159501,8142.709867,1122.975551,285189.6
2/28/2021,0,11484.21997,7430.871738,2940.832964,0,0,3485.438674,257721
3/7/2021,0,0,0,0,0,0,1472.433004,182637.2
3/14/2021,0,0,6950.878411,1652.984214,0,6287.798943,4383.311693,219067.8
3/21/2021,0,0,0,1669.733555,0,0,638.8793243,171484.6
3/28/2021,15168.61005,0,8822.850446,2505.880692,0,9438.045438,5345.957802,299161
4/4/2021,0,16677.10789,10839.38641,0,4164.390309,6391.030591,3365.503286,270864.2
4/11/2021,14865.70462,0,0,0,0,8520.496768,1830.864119,277341.6
4/18/2021,0,13247.7026,9897.128235,0,4173.917215,7127.131408,4283.52,277098.4
4/25/2021,0,0,0,2007.339684,0,0,1003.669842,217904.4
5/2/2021,0,0,0,0,0,0,0,157088
5/9/2021,0,0,0,0,0,0,0,148110.8
5/16/2021,0,0,0,0,0,0,0,154105.2
5/23/2021,13109.00641,11863.06111,7855.985497,2010.631305,3989.98853,6102.639384,2613.370487,217768.2
5/30/2021,0,0,0,0,0,0,0,154312.6
6/6/2021,0,0,7576.636484,1832.587119,0,6164.125202,3888.607246,211634.4
6/13/2021,0,0,8016.903347,1772.386963,3392.961893,6222.548234,4122.308856,224371.6
6/20/2021,14544.23175,0,0,2621.487855,3853.011002,8223.83163,1396.107744,255794
6/27/2021,0,11158.63018,0,1326.37852,3409.399095,0,704.2579913,198464.6
7/4/2021,0,0,0,0,0,0,2427.395245,195636.6
7/11/2021,12197.05028,0,0,0,0,7075.124136,914.0073081,231412.4
7/18/2021,13803.53923,0,0,0,0,7551.310281,1372.44336,245890.8
7/25/2021,0,13014.14243,0,1162.016005,0,0,1145.281694,194918
8/1/2021,0,0,7698.337301,2366.34938,0,0,4718.478772,238368.2
8/8/2021,0,0,7021.523533,1673.722517,0,5909.438545,2869.860962,219668
8/15/2021,12035.72938,0,0,0,3519.762547,6680.478226,0,178894.8
8/22/2021,18164.39087,12513.84607,0,3414.316127,0,8429.301658,1707.158063,262629.8
8/29/2021,14159.23954,12451.42384,0,3275.084482,4305.628266,8685.538107,1304.891652,293388
9/5/2021,15870.62214,12147.8768,0,2183.057113,4410.60634,8008.928899,1091.528556,276866.6
9/12/2021,0,12675.05267,8795.680572,0,0,6419.741583,3482.725272,280490.6
9/19/2021,13329.98214,0,0,2505.05568,3756.298617,7631.781447,1820.388546,266315.8
9/26/2021,0,11623.44129,7549.779916,0,0,0,2173.509112,204744.8
10/3/2021,0,0,0,1422.82151,0,0,850.6948294,180603.4
10/10/2021,15872.81096,0,7939.661289,2518.88,0,8688.287477,5195.985757,318082.2
10/17/2021,0,13057.23109,7878.190161,1905.701646,4053.967907,6051.443745,2622.642683,256785.8
10/24/2021,0,0,0,0,0,0,994.9269219,181269
10/31/2021,0,0,0,0,0,0,0,145004.2
