Date,Sales Name
2020-01-19,Republic Day
2020-01-26,BED
2020-02-02,BED
2020-02-09,Valentine's Day
2020-02-16,FHSD
2020-03-01,BSD-5
2020-03-08,BSD-5
2020-05-24,Pacman
2020-07-12,Eid & Rathayatra sale
2020-07-19,Eid & Rathayatra sale
2020-08-09,Independence Sale
2020-08-16,Independence Sale
2020-08-23,Rakshabandhan Sale
2020-08-30,Rakshabandhan Sale
2020-10-11,Daussera sale
2020-11-01,Big Diwali Sale
2020-11-08,Big Diwali Sale
2020-12-20,Christmas & New Year Sale
2020-12-27,Christmas & New Year Sale
2021-01-03,Christmas & New Year Sale
2021-01-17,Republic Day
2021-01-31,BED
2021-02-14,FHSD
2021-02-14,Valentine's Day
2021-02-21,FHSD
2021-03-07,BSD-5
2021-05-23,Pacman
2021-07-18,Eid & Rathayatra sale
2021-08-15,Independence Sale
2021-08-22,Rakshabandhan Sale
2021-08-29,Rakshabandhan Sale
2021-10-10,Daussera sale
2021-10-17,Daussera sale
2021-11-07,Big Diwali Sale
2021-11-14,Big Diwali Sale
2021-12-19,Christmas & New Year Sale
2021-12-26,Christmas & New Year Sale
