params,values,Modelo,Medio,Feature,Parametro
adstock__OpenTV_pipe__carryover__strength,0.5200927346454295,adstock,OpenTV_pipe,carryover,strength
adstock__OpenTV_pipe__carryover__length,0.0,adstock,OpenTV_pipe,carryover,length
adstock__OpenTV_pipe__saturation__a,0.23743474534634584,adstock,OpenTV_pipe,saturation,a
adstock__PayTV_pipe__carryover__strength,0.09265662457974128,adstock,PayTV_pipe,carryover,strength
adstock__PayTV_pipe__carryover__length,2.0,adstock,PayTV_pipe,carryover,length
adstock__PayTV_pipe__saturation__a,0.11772775087227429,adstock,PayTV_pipe,saturation,a
adstock__Radio_pipe__carryover__strength,0.26734471060622544,adstock,Radio_pipe,carryover,strength
adstock__Radio_pipe__carryover__length,0.0,adstock,Radio_pipe,carryover,length
adstock__Radio_pipe__saturation__a,0.2529686216064008,adstock,Radio_pipe,saturation,a
adstock__Print_pipe__carryover__strength,0.21690681817179291,adstock,Print_pipe,carryover,strength
adstock__Print_pipe__carryover__length,0.0,adstock,Print_pipe,carryover,length
adstock__Print_pipe__saturation__a,0.7824559387914408,adstock,Print_pipe,saturation,a
adstock__Facebook_pipe__carryover__strength,0.11990736098664037,adstock,Facebook_pipe,carryover,strength
adstock__Facebook_pipe__carryover__length,2.0,adstock,Facebook_pipe,carryover,length
adstock__Facebook_pipe__saturation__a,0.16138687265710386,adstock,Facebook_pipe,saturation,a
adstock__Google_pipe__carryover__strength,0.049893949149605016,adstock,Google_pipe,carryover,strength
adstock__Google_pipe__carryover__length,2.0,adstock,Google_pipe,carryover,length
adstock__Google_pipe__saturation__a,0.13648751362371922,adstock,Google_pipe,saturation,a
adstock__Email_pipe__carryover__strength,0.3683877887963961,adstock,Email_pipe,carryover,strength
adstock__Email_pipe__carryover__length,0.0,adstock,Email_pipe,carryover,length
adstock__Email_pipe__saturation__a,0.9396835123276751,adstock,Email_pipe,saturation,a
